INFO 2022-01-24 14:27:07,057 autoreload 21812 139946164685824 Watching for file changes with StatReloader
INFO 2022-01-24 14:29:44,063 basehttp 21812 139945998132800 "GET / HTTP/1.1" 200 3838
WARNING 2022-01-24 14:29:44,434 basehttp 21812 139945998132800 "GET /favicon.ico HTTP/1.1" 404 3501
INFO 2022-01-24 14:30:12,388 basehttp 21812 139945998132800 "GET /accounts/ HTTP/1.1" 200 2941
INFO 2022-01-24 14:30:12,459 basehttp 21812 139945998132800 "GET /static/accounts/css/login.css HTTP/1.1" 200 603
INFO 2022-01-24 14:30:19,630 basehttp 21812 139945998132800 "POST /accounts/ HTTP/1.1" 200 3159
INFO 2022-01-24 14:30:26,392 basehttp 21812 139945998132800 "POST /accounts/ HTTP/1.1" 200 3159
INFO 2022-01-24 14:30:38,426 basehttp 21812 139945998132800 "POST /accounts/ HTTP/1.1" 302 0
INFO 2022-01-24 14:30:38,461 basehttp 21812 139945998132800 "GET / HTTP/1.1" 200 5255
INFO 2022-01-24 14:30:44,877 basehttp 21812 139945998132800 "GET /admin/ HTTP/1.1" 200 30382
INFO 2022-01-24 14:30:44,908 basehttp 21812 139945998132800 "GET /static/admin/css/base.css HTTP/1.1" 304 0
INFO 2022-01-24 14:30:44,914 basehttp 21812 139945998132800 "GET /static/jet/css/icons/style.css?v=1.0.8 HTTP/1.1" 304 0
INFO 2022-01-24 14:30:44,920 basehttp 21812 139945989740096 "GET /static/jet/css/vendor.css?v=1.0.8 HTTP/1.1" 304 0
INFO 2022-01-24 14:30:44,932 basehttp 21812 139945970595392 "GET /static/jet/css/themes/default/jquery-ui.theme.css?v=1.0.8 HTTP/1.1" 304 0
INFO 2022-01-24 14:30:44,933 basehttp 21812 139945953809984 "GET /static/admin/css/dashboard.css HTTP/1.1" 304 0
INFO 2022-01-24 14:30:44,934 basehttp 21812 139945962202688 "GET /static/jet/css/themes/default/base.css?v=1.0.8 HTTP/1.1" 304 0
INFO 2022-01-24 14:30:44,939 basehttp 21812 139945978988096 "GET /static/jet/css/themes/default/select2.theme.css?v=1.0.8 HTTP/1.1" 304 0
INFO 2022-01-24 14:30:44,948 basehttp 21812 139945989740096 "GET /jet/jsi18n/ HTTP/1.1" 200 12869
INFO 2022-01-24 14:30:44,966 basehttp 21812 139945989740096 "GET /static/jet/js/i18n/select2/uk.js?v=1.0.8 HTTP/1.1" 304 0
INFO 2022-01-24 14:30:44,967 basehttp 21812 139945998132800 "GET /static/jet/js/i18n/jquery-ui/datepicker-uk.js?v=1.0.8 HTTP/1.1" 304 0
INFO 2022-01-24 14:30:44,975 basehttp 21812 139945998132800 "GET /static/jet/js/build/bundle.min.js?v=1.0.8 HTTP/1.1" 304 0
INFO 2022-01-24 14:30:45,457 basehttp 21812 139945998132800 "GET /admin/ HTTP/1.1" 200 30382
INFO 2022-01-24 14:30:45,604 basehttp 21812 139945998132800 "GET /static/jet/css/icons/fonts/jet-icons.ttf?415d6s HTTP/1.1" 304 0
INFO 2022-01-24 14:30:49,452 basehttp 21812 139945998132800 "GET /admin/accounts/customer/ HTTP/1.1" 200 29658
INFO 2022-01-24 14:30:49,509 basehttp 21812 139945989740096 "GET /jet/jsi18n/ HTTP/1.1" 200 12869
INFO 2022-01-24 14:30:49,513 basehttp 21812 139945978988096 "GET /static/admin/css/changelists.css HTTP/1.1" 304 0
INFO 2022-01-24 14:30:49,524 basehttp 21812 139945989740096 "GET /static/admin/js/jquery.init.js HTTP/1.1" 304 0
INFO 2022-01-24 14:30:49,530 basehttp 21812 139945998132800 "GET /admin/jsi18n/ HTTP/1.1" 200 12869
INFO 2022-01-24 14:30:49,531 basehttp 21812 139945978988096 "GET /static/admin/js/admin/RelatedObjectLookups.js HTTP/1.1" 304 0
INFO 2022-01-24 14:30:49,532 basehttp 21812 139945962202688 "GET /static/admin/js/vendor/jquery/jquery.js HTTP/1.1" 304 0
INFO 2022-01-24 14:30:49,557 basehttp 21812 139945962202688 "GET /static/admin/js/core.js HTTP/1.1" 304 0
INFO 2022-01-24 14:30:49,564 basehttp 21812 139945998132800 "GET /static/admin/js/actions.js HTTP/1.1" 304 0
INFO 2022-01-24 14:30:49,565 basehttp 21812 139945978988096 "GET /static/admin/js/prepopulate.js HTTP/1.1" 304 0
INFO 2022-01-24 14:30:49,564 basehttp 21812 139945962202688 "GET /static/admin/js/urlify.js HTTP/1.1" 304 0
INFO 2022-01-24 14:30:49,581 basehttp 21812 139945978988096 "GET /static/admin/js/vendor/xregexp/xregexp.js HTTP/1.1" 304 0
INFO 2022-01-24 14:30:49,618 basehttp 21812 139945998132800 "GET /static/admin/img/search.svg HTTP/1.1" 304 0
INFO 2022-01-24 14:30:52,208 basehttp 21812 139945998132800 "GET /admin/ HTTP/1.1" 200 30382
INFO 2022-01-24 14:30:54,932 basehttp 21812 139945998132800 "GET /admin/products/products/ HTTP/1.1" 200 26268
INFO 2022-01-24 14:30:54,973 basehttp 21812 139945978988096 "GET /jet/jsi18n/ HTTP/1.1" 200 12869
INFO 2022-01-24 14:30:55,008 basehttp 21812 139945998132800 "GET /admin/jsi18n/ HTTP/1.1" 200 12869
INFO 2022-01-24 14:30:57,736 basehttp 21812 139945998132800 "GET /admin/products/ HTTP/1.1" 200 26117
